,A3C_T_MAX,LEARNING_RATE,DISCOUNT_FACTOR,GRADIENT_CLIP,ENTROPY_TERM_STRENGTH,ADAM_EPS,REWARD_SCALE,WMG_MAX_MEMOS,WMG_MEMO_SIZE,WMG_NUM_LAYERS,WMG_NUM_ATTENTION_HEADS,WMG_ATTENTION_HEAD_SIZE,WMG_HIDDEN_SIZE,AC_HIDDEN_LAYER_SIZE,Original-SR,NAP-SR
92,40,-11.512925464970229,-0.2231435513142097,2.0794415416798357,-2.995712273753988,-23.025850929940457,4.1588830833596715,6,4.1588830833596715,5,12,6.238324625039508,3.1780538303479458,7.965545573129992,0.3221,0.3355
93,24,-11.974960924566787,-0.01005033585350145,1.3862943611198906,-5.29811738654537,-9.210340371976182,2.772588722239781,16,5.19295685089021,2,10,2.0794415416798357,3.1780538303479458,6.931471805599453,0.3765,0.3688
94,4,-9.210340371976182,-0.05129329438755058,7.6246189861593985,-3.9119730066781044,-23.025850929940457,2.772588722239781,8,3.8066624897703196,11,4,4.499809670330265,1.791759469228055,7.272398392570047,0.6481,0.8655
95,96,-10.126631103850338,-0.0020020026706730793,2.772588722239781,-6.21410822338054,-27.631021115928547,3.4657359027997265,6,6.931471805599453,7,2,2.772588722239781,1.791759469228055,4.1588830833596715,0.3567,0.0
96,20,-9.210340371976182,-0.5108256237659907,1.3862943611198906,-4.6050701909877585,-23.025850929940457,0.0,10,5.886104031450156,6,16,4.1588830833596715,4.852030263919617,7.965545573129992,0.4794,0.9856
97,6,-9.672375831572742,-0.5108256237659907,5.545177444479562,-2.3025750930440454,-13.815510557964274,-1.3862943611198906,8,4.499809670330265,8,12,3.1780538303479458,6.238324625039508,5.886104031450156,0.3355,0.3841
98,4,-7.824046010856292,-0.05129329438755058,6.238324625039508,-2.995712273753988,-4.605170185988091,2.772588722239781,6,4.499809670330265,2,12,2.4849066497880004,5.2574953720277815,5.19295685089021,0.9799,0.9916
99,1,-12.429216196844383,-0.05129329438755058,2.772588722239781,-5.29811738654537,-23.025850929940457,0.6931471805599453,2,7.6246189861593985,9,4,5.19295685089021,2.772588722239781,8.658692753689937,0.994,0.9957
100,12,-10.126631103850338,-0.35667494393873245,6.931471805599453,-13.815510557964274,-13.815510557964274,0.0,3,6.238324625039508,5,3,2.4849066497880004,5.2574953720277815,8.658692753689937,0.9953,0.519
101,1,-11.512925464970229,-0.6931471805599453,4.1588830833596715,-4.6050701909877585,-23.025850929940457,2.0794415416798357,1,4.1588830833596715,5,1,2.772588722239781,5.545177444479562,6.238324625039508,0.991,0.9855
102,64,-11.974960924566787,-0.5108256237659907,5.545177444479562,-1.6094329124466003,-13.815510557964274,4.1588830833596715,20,3.8066624897703196,8,16,3.1780538303479458,4.852030263919617,4.1588830833596715,0.3311,0.3176
103,64,-10.596634733096073,-0.01005033585350145,7.6246189861593985,-13.815510557964274,-4.605170185988091,3.4657359027997265,10,5.545177444479562,11,2,4.499809670330265,5.545177444479562,6.579251212010101,0.4451,0.0
104,3,-11.974960924566787,-0.05129329438755058,6.931471805599453,-5.29811738654537,-4.605170185988091,0.0,6,6.579251212010101,11,20,4.852030263919617,5.545177444479562,5.886104031450156,0.3442,0.5992
105,32,-8.294049640102028,-0.005012541823544286,3.4657359027997265,-1.6094329124466003,-23.025850929940457,4.852030263919617,10,3.8066624897703196,13,2,5.545177444479562,5.2574953720277815,8.317766166719343,0.3221,0.3952
106,96,-11.042921835724492,-0.020202707317519466,5.545177444479562,-4.6050701909877585,-18.420680743952367,2.0794415416798357,12,5.545177444479562,7,2,3.871201010907891,3.871201010907891,5.886104031450156,0.3567,0.3841
107,16,-10.126631103850338,-0.35667494393873245,7.6246189861593985,-1.6094329124466003,-4.605170185988091,-0.6931471805599453,2,3.8066624897703196,7,2,5.886104031450156,5.545177444479562,5.886104031450156,0.3484,0.3608
108,6,-8.740336742730447,-0.6931471805599453,6.931471805599453,-2.995712273753988,-27.631021115928547,-0.6931471805599453,10,5.19295685089021,11,10,5.886104031450156,1.791759469228055,5.545177444479562,0.3034,0.3221
